Residence type,Place of residence,Age,Profession,Level of education,Family type,Family having children,Head of the family,Monthly income,Monthly income percentage allocated for wife,First torture experience,First type of torture,Current form of abuse,Place of most abuse,Type of marriage,Spouse divorced before the current marriage,Duration of current marriage,Extramarital affairs?,Level of satisfaction with marital life,Spouse physically capable of having sex,Level of satisfaction with sexual relationship patterns,Do you want Bangladesh to pass male torture law?,Are you (male) a victim of domestic abuse by your wife?
urban,Mymensingh,31,Businessman,Graduate,Joint family (without in-laws),married with children,1,15001-25000,1-10%,Between 2nd to 6th month of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Husband involved in adultery,Partially dissatisfied,Wife is not capable,Partially dissatisfied,Yes,0
urban,Rajshahi,31,Businessman,Graduate,Joint family (with in-laws),married with children,1,50000-More,31-50%,After 12 months of marriage,"Mental, verbal","Physical, verbal",In the house,Love Marriage,Husband previously divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Wife is not capable,Fully dissatisfied,Yes,0
urban,Khulna,39,Employed,High school,Single family,married with children,1,15001-25000,100%,Between 2nd to 6th month of marriage,Verbal,Mental,In the house,Love Marriage,Wife previously divorced,More than 10 years,Wife involved in adultery,Partially satisfied,Both are capable,Dissatisfied,Yes,0
urban,Chittagong,41,Unemployed,High school,Single family,married with children,1,0,0%,After 12 months of marriage,"Physical, mental, verbal",Verbal,In the house,Arranged Marriage,Both previously divorced,More than 10 years,Neither spouse is involved in adultery,Partially satisfied,Both are capable,Fully dissatisfied,No,0
urban,Mymensingh,39,Businessman,Graduate,Joint family (with in-laws),married without children,0,50000-More,31-50%,After 12 months of marriage,Mental,Mental,In the house,Arranged Marriage,Wife previously divorced,1-3 years,Both involved in adultery,Partially satisfied,Husband is not capable,Dissatisfied,Yes,1
suburban,Dhaka,25,Abroad,High school,Joint family (with in-laws),married without children,1,25001-50000,31-50%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Love Marriage,Husband previously divorced,More than 10 years,Wife involved in adultery,Dissatisfied,Wife is not capable,Partially dissatisfied,Yes,1
suburban,Sylhet,32,Businessman,Graduate,Joint family (with in-laws),married with children,1,25001-50000,1-10%,Within 6 months to 12 months of marriage,"Physical, mental, verbal, sexual abuse","Mental, verbal",In the house,Love Marriage,Wife previously divorced,More than 10 years,Neither spouse is involved in adultery,Fully satisfied,Both are incapable,Partially dissatisfied,Yes,0
urban,Sylhet,20,Unemployed,Postgraduate,Single family,married without children,1,0,0%,Between 2nd to 6th month of marriage,Mental,"Physical, mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,0-1 year,Neither spouse is involved in adultery,Partially satisfied,Both are capable,Dissatisfied,Yes,0
rural,Dhaka,29,Student,High school,Single family,married with children,1,50000-More,1-10%,After 12 months of marriage,Verbal,"Physical, mental, verbal",In the house,Arranged Marriage,Wife previously divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,No,0
urban,Chittagong,31,Employed,Postgraduate,Joint family (without in-laws),married with children,1,5001-10000,11-30%,Within the 1st month of marriage,"Physical, mental, verbal",Mental,In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Sylhet,22,Employed,Graduate,Joint family (with in-laws),married with children,1,15001-25000,31-50%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal, sexual abuse",Both indoors and outdoors,Arranged Marriage,Husband previously divorced,3-5 years,Husband involved in adultery,Partially dissatisfied,Wife is not capable,Dissatisfied,No,1
suburban,Khulna,39,Employed,Postgraduate,Single family,married with children,0,25001-50000,11-30%,After 12 months of marriage,Mental,Verbal,In the house,Love Marriage,Neither spouse is divorced,1-3 years,Both involved in adultery,Fully dissatisfied,Both are capable,Dissatisfied,Yes,0
urban,Dhaka,35,Employed,Postgraduate,Single family,married with children,1,0,0%,Within the 1st month of marriage,Verbal,"Mental, verbal",In the house,Love Marriage,Both previously divorced,1-3 years,Wife involved in adultery,Dissatisfied,Both are capable,Dissatisfied,Yes,0
urban,Khulna,44,Businessman,Postgraduate,Joint family (with in-laws),married without children,1,25001-50000,51-75%,After 12 months of marriage,Verbal,Verbal,In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Wife involved in adultery,Dissatisfied,Both are incapable,Partially dissatisfied,No,0
urban,Chittagong,41,Businessman,Graduate,Joint family (with in-laws),married without children,1,0,0%,Within 6 months to 12 months of marriage,"Physical, mental, verbal",Mental,In the house,Arranged Marriage,Both previously divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Husband is not capable,Fully dissatisfied,No,0
urban,Comilla,34,Employed,Postgraduate,Joint family (with in-laws),married with children,1,25001-50000,1-10%,Within the 1st month of marriage,"Physical, verbal","Physical, verbal",In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Partially dissatisfied,Wife is not capable,Partially dissatisfied,Yes,0
rural,Chittagong,38,Employed,High school,Joint family (with in-laws),married without children,1,25001-50000,11-30%,Within 6 months to 12 months of marriage,"Physical, mental, verbal",Verbal,In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Partially dissatisfied,Both are capable,Partially dissatisfied,Yes,0
rural,Dhaka,23,Unemployed,High school,Joint family (without in-laws),married with children,1,0,0%,Between 2nd to 6th month of marriage,Mental,Verbal,In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Dissatisfied,No,0
urban,Rangpur,27,Businessman,High school,Single family,married with children,1,15001-25000,1-10%,Within 6 months to 12 months of marriage,"Physical, verbal",Verbal,Outside (in front of everyone),Love Marriage,Neither spouse is divorced,1-3 years,Husband involved in adultery,Fully dissatisfied,Wife is not capable,Satisfied,No,0
urban,Barisal,22,Businessman,Graduate,Single family,married without children,1,0,0%,After 12 months of marriage,Mental,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Both previously divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Fully satisfied,Yes,0
urban,Dhaka,20,Businessman,Graduate,Joint family (with in-laws),married without children,1,25001-50000,0%,Within 6 months to 12 months of marriage,"Physical, mental, verbal","Physical, mental, verbal",Both indoors and outdoors,Arranged Marriage,Husband previously divorced,1-3 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Barisal,34,Employed,Graduate,Joint family (without in-laws),married with children,0,15001-25000,31-50%,Within the 1st month of marriage,"Mental, verbal","Mental, verbal",In the house,Arranged Marriage,Wife previously divorced,1-3 years,Both involved in adultery,Dissatisfied,Both are capable,Partially dissatisfied,Yes,0
suburban,Khulna,23,Businessman,Graduate,Joint family (without in-laws),married with children,1,25001-50000,11-30%,Within 6 months to 12 months of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Husband involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Comilla,37,Unemployed,Graduate,Joint family (with in-laws),married with children,1,0,0%,Between 2nd to 6th month of marriage,"Physical, verbal","Physical, verbal",In the house,Love Marriage,Husband previously divorced,3-5 years,Wife involved in adultery,Partially dissatisfied,Both are capable,Partially dissatisfied,Yes,1
urban,Dhaka,34,Employed,Graduate,Single family,married without children,1,50000-More,1-10%,Between 2nd to 6th month of marriage,Verbal,"Physical, mental, verbal",In the house,Love Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Wife is not capable,Fully satisfied,Yes,0
urban,Dhaka,23,Businessman,Graduate,Joint family (with in-laws),married without children,1,25001-50000,1-10%,After 12 months of marriage,Mental,"Physical, mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,0-1 year,Husband involved in adultery,Partially dissatisfied,Both are capable,Fully satisfied,Yes,0
urban,Dhaka,39,Unemployed,Graduate,Joint family (with in-laws),married without children,1,0,0%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Wife previously divorced,3-5 years,Husband involved in adultery,Dissatisfied,Both are capable,Partially satisfied,Yes,1
urban,Chittagong,24,Employed,High school,Joint family (with in-laws),married with children,1,25001-50000,100%,After 12 months of marriage,Verbal,Verbal,In the house,Love Marriage,Neither spouse is divorced,1-3 years,Wife involved in adultery,Fully dissatisfied,Wife is not capable,Fully satisfied,Yes,0
suburban,Chittagong,32,Unemployed,Graduate,Joint family (with in-laws),married without children,1,0,0%,Within the 1st month of marriage,Mental,Verbal,Both indoors and outdoors,Arranged Marriage,Wife previously divorced,3-5 years,Husband involved in adultery,Partially satisfied,Both are capable,Dissatisfied,Yes,0
urban,Chittagong,43,Employed,Graduate,Joint family (with in-laws),married without children,0,15001-25000,31-50%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Neither spouse is divorced,0-1 year,Both involved in adultery,Fully dissatisfied,Both are capable,Partially satisfied,Yes,0
suburban,Dhaka,37,Employed,Graduate,Single family,married with children,1,5001-10000,31-50%,Within the 1st month of marriage,"Mental, verbal","Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Partially dissatisfied,Both are capable,Fully dissatisfied,Yes,0
suburban,Rangpur,35,Unemployed,Graduate,Joint family (with in-laws),married without children,0,0,0%,Within 6 months to 12 months of marriage,"Physical, verbal",Verbal,In the house,Love Marriage,Both previously divorced,1-3 years,Both involved in adultery,Fully satisfied,Wife is not capable,Partially dissatisfied,Yes,0
urban,Rangpur,24,Employed,Graduate,Joint family (without in-laws),married with children,1,25001-50000,51-75%,Within the 1st month of marriage,Mental,Verbal,In the house,Love Marriage,Husband previously divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Husband is not capable,Partially dissatisfied,Yes,0
urban,Barisal,45,Businessman,Graduate,Joint family (with in-laws),married without children,1,25001-50000,11-30%,Within 6 months to 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,Outside (in front of everyone),Love Marriage,Neither spouse is divorced,1-3 years,Wife involved in adultery,Dissatisfied,Wife is not capable,Dissatisfied,No,1
urban,Comilla,40,Employed,Postgraduate,Joint family (with in-laws),married with children,1,15001-25000,11-30%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Wife previously divorced,More than 10 years,Wife involved in adultery,Partially dissatisfied,Husband is not capable,Dissatisfied,Yes,0
suburban,Chittagong,38,Abroad,Graduate,Single family,married without children,1,15001-25000,31-50%,After 12 months of marriage,Verbal,"Physical, mental, verbal",In the house,Love Marriage,Wife previously divorced,1-3 years,Wife involved in adultery,Dissatisfied,Both are capable,Partially dissatisfied,No,0
rural,Khulna,29,Abroad,Graduate,Single family,married with children,1,15001-25000,1-10%,After 12 months of marriage,"Physical, mental, verbal","Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Wife previously divorced,3-5 years,Husband involved in adultery,Fully dissatisfied,Wife is not capable,Fully satisfied,No,0
urban,Chittagong,43,Unemployed,Graduate,Single family,married with children,1,0,0%,Within the 1st month of marriage,Mental,Verbal,In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Fully dissatisfied,Both are capable,Partially dissatisfied,Yes,0
suburban,Mymensingh,31,Unemployed,Postgraduate,Joint family (with in-laws),married without children,1,0,0%,Between 2nd to 6th month of marriage,Verbal,"Physical, mental, verbal",In the house,Love Marriage,Neither spouse is divorced,3-5 years,Husband involved in adultery,Fully dissatisfied,Wife is not capable,Partially satisfied,No,0
urban,Rangpur,27,Businessman,Graduate,Joint family (with in-laws),married with children,1,15001-25000,1-10%,Within 6 months to 12 months of marriage,"Physical, mental, verbal","Physical, mental, verbal, sexual abuse",Both indoors and outdoors,Arranged Marriage,Neither spouse is divorced,1-3 years,Wife involved in adultery,Dissatisfied,Husband is not capable,Dissatisfied,Yes,0
urban,Khulna,23,Employed,High school,Joint family (with in-laws),married with children,1,5001-10000,11-30%,After 12 months of marriage,Mental,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Neither spouse is divorced,3-5 years,Husband involved in adultery,Fully satisfied,Wife is not capable,Partially dissatisfied,Yes,1
urban,Mymensingh,27,Employed,Graduate,Single family,married with children,1,15001-25000,0%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Love Marriage,Both previously divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Husband is not capable,Dissatisfied,No,0
urban,Chittagong,43,Businessman,Postgraduate,Joint family (with in-laws),married without children,1,5001-10000,31-50%,Within 6 months to 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Husband previously divorced,More than 10 years,Neither spouse is involved in adultery,Fully satisfied,Wife is not capable,Fully dissatisfied,Yes,0
rural,Dhaka,38,Employed,Graduate,Joint family (without in-laws),married with children,1,25001-50000,11-30%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Wife previously divorced,More than 10 years,Wife involved in adultery,Satisfied,Both are capable,Dissatisfied,No,0
rural,Rajshahi,26,Businessman,High school,Joint family (without in-laws),married with children,0,25001-50000,51-75%,Within the 1st month of marriage,Verbal,"Mental, verbal",In the house,Love Marriage,Husband previously divorced,More than 10 years,Neither spouse is involved in adultery,Partially satisfied,Both are capable,Fully dissatisfied,Yes,0
rural,Rajshahi,25,Employed,Graduate,Single family,married with children,0,50000-More,51-75%,After 12 months of marriage,Verbal,Mental,In the house,Love Marriage,Husband previously divorced,1-3 years,Husband involved in adultery,Partially dissatisfied,Both are capable,Fully dissatisfied,No,0
urban,Rajshahi,34,Employed,High school,Joint family (with in-laws),married without children,1,15001-25000,51-75%,Within 6 months to 12 months of marriage,Mental,Mental,In the house,Love Marriage,Husband previously divorced,3-5 years,Both involved in adultery,Dissatisfied,Husband is not capable,Partially dissatisfied,Yes,0
suburban,Chittagong,35,Employed,High school,Joint family (with in-laws),married with children,1,25001-50000,31-50%,After 12 months of marriage,Mental,Mental,In the house,Love Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Wife is not capable,Fully dissatisfied,Yes,0
suburban,Khulna,27,Businessman,Postgraduate,Joint family (without in-laws),married without children,0,25001-50000,51-75%,Between 2nd to 6th month of marriage,"Mental, verbal","Physical, mental, verbal, sexual abuse",Outside (in front of everyone),Arranged Marriage,Neither spouse is divorced,0-1 year,Husband involved in adultery,Dissatisfied,Both are capable,Partially satisfied,Yes,0
rural,Rangpur,42,Unemployed,Graduate,Joint family (with in-laws),married without children,1,0,0%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",Both indoors and outdoors,Love Marriage,Husband previously divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Husband is not capable,Dissatisfied,Yes,0
suburban,Rangpur,36,Unemployed,High school,Single family,married without children,1,0,0%,Between 2nd to 6th month of marriage,Verbal,Verbal,In the house,Arranged Marriage,Husband previously divorced,1-3 years,Neither spouse is involved in adultery,Fully satisfied,Wife is not capable,Dissatisfied,Yes,1
urban,Sylhet,26,Unemployed,Graduate,Joint family (with in-laws),married without children,1,0,0%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",Both indoors and outdoors,Arranged Marriage,Husband previously divorced,3-5 years,Husband involved in adultery,Partially dissatisfied,Both are capable,Dissatisfied,Yes,0
suburban,Chittagong,34,Employed,Graduate,Single family,married without children,1,25001-50000,31-50%,Within 6 months to 12 months of marriage,"Physical, mental, verbal",Verbal,In the house,Love Marriage,Neither spouse is divorced,0-1 year,Neither spouse is involved in adultery,Partially dissatisfied,Wife is not capable,Fully dissatisfied,Yes,0
suburban,Rajshahi,34,Businessman,Graduate,Single family,married without children,1,15001-25000,31-50%,Between 2nd to 6th month of marriage,Verbal,Verbal,In the house,Love Marriage,Wife previously divorced,More than 10 years,Neither spouse is involved in adultery,Partially dissatisfied,Both are incapable,Dissatisfied,Yes,0
rural,Dhaka,27,Employed,High school,Joint family (with in-laws),married with children,1,15001-25000,31-50%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,Both indoors and outdoors,Arranged Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Husband is not capable,Fully dissatisfied,Yes,1
urban,Khulna,22,Employed,High school,Joint family (with in-laws),married without children,1,50000-More,31-50%,Within the 1st month of marriage,"Physical, mental, verbal","Mental, verbal",In the house,Love Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Partially satisfied,Wife is not capable,Fully dissatisfied,Yes,0
urban,Rangpur,29,Employed,Postgraduate,Joint family (without in-laws),married with children,1,50000-More,1-10%,After 12 months of marriage,Verbal,Verbal,In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Fully dissatisfied,Both are capable,Fully dissatisfied,Yes,0
suburban,Dhaka,25,Unemployed,Graduate,Joint family (with in-laws),married with children,0,0,0%,Within the 1st month of marriage,"Physical, mental, verbal, sexual abuse",Verbal,Both indoors and outdoors,Arranged Marriage,Husband previously divorced,3-5 years,Wife involved in adultery,Satisfied,Wife is not capable,Satisfied,Yes,1
urban,Dhaka,43,Unemployed,Graduate,Joint family (with in-laws),married without children,1,0,0%,Within 6 months to 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Both involved in adultery,Partially dissatisfied,Husband is not capable,Dissatisfied,Yes,0
urban,Rajshahi,24,Employed,High school,Joint family (with in-laws),married without children,1,5001-10000,1-10%,After 12 months of marriage,Mental,"Physical, verbal",Outside (in front of everyone),Love Marriage,Neither spouse is divorced,0-1 year,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Dissatisfied,Yes,0
suburban,Khulna,26,Businessman,Graduate,Single family,married without children,1,15001-25000,11-30%,Within the 1st month of marriage,Verbal,Mental,In the house,Love Marriage,Husband previously divorced,1-3 years,Neither spouse is involved in adultery,Partially dissatisfied,Wife is not capable,Partially dissatisfied,Yes,0
suburban,Chittagong,20,Employed,Postgraduate,Joint family (with in-laws),married with children,1,15001-25000,51-75%,Within the 1st month of marriage,Verbal,Mental,In the house,Arranged Marriage,Both previously divorced,3-5 years,Husband involved in adultery,Dissatisfied,Wife is not capable,Partially dissatisfied,Yes,0
suburban,Chittagong,31,Employed,Graduate,Joint family (without in-laws),married with children,1,5001-10000,51-75%,Between 2nd to 6th month of marriage,"Physical, mental, verbal",Verbal,In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Both involved in adultery,Dissatisfied,Wife is not capable,Fully dissatisfied,Yes,0
urban,Rajshahi,20,Unemployed,Postgraduate,Joint family (without in-laws),married with children,1,0,0%,Within 6 months to 12 months of marriage,"Physical, verbal",Mental,Outside (in front of everyone),Love Marriage,Wife previously divorced,1-3 years,Husband involved in adultery,Partially satisfied,Both are capable,Fully dissatisfied,Yes,0
rural,Rangpur,26,Employed,High school,Single family,married with children,1,5001-10000,1-10%,After 12 months of marriage,Verbal,Verbal,In the house,Arranged Marriage,Wife previously divorced,1-3 years,Both involved in adultery,Partially dissatisfied,Husband is not capable,Dissatisfied,No,0
urban,Dhaka,38,Abroad,Graduate,Joint family (with in-laws),married with children,1,25001-50000,31-50%,Within 6 months to 12 months of marriage,"Physical, mental, verbal","Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Fully dissatisfied,Yes,0
suburban,Rangpur,31,Employed,Postgraduate,Single family,married without children,0,25001-50000,51-75%,Between 2nd to 6th month of marriage,Mental,"Mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Husband involved in adultery,Dissatisfied,Both are capable,Dissatisfied,No,0
suburban,Mymensingh,45,Employed,Postgraduate,Joint family (with in-laws),married without children,1,0,0%,After 12 months of marriage,Verbal,"Mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Fully satisfied,Yes,0
urban,Rangpur,34,Businessman,High school,Joint family (with in-laws),married with children,1,25001-50000,11-30%,Within the 1st month of marriage,"Physical, mental, verbal","Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,No,1
suburban,Rangpur,23,Businessman,Graduate,Joint family (without in-laws),married without children,1,25001-50000,51-75%,Within 6 months to 12 months of marriage,Verbal,Verbal,In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Wife involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,Yes,0
rural,Chittagong,21,Unemployed,High school,Joint family (without in-laws),married with children,0,0,0%,After 12 months of marriage,"Physical, mental, verbal",Verbal,Outside (in front of everyone),Arranged Marriage,Both previously divorced,3-5 years,Neither spouse is involved in adultery,Partially dissatisfied,Wife is not capable,Partially dissatisfied,Yes,1
urban,Comilla,42,Businessman,Graduate,Single family,married with children,0,25001-50000,31-50%,Within 6 months to 12 months of marriage,Verbal,"Mental, verbal",Both indoors and outdoors,Arranged Marriage,Both previously divorced,3-5 years,Husband involved in adultery,Partially dissatisfied,Husband is not capable,Dissatisfied,Yes,0
urban,Rajshahi,22,Employed,Graduate,Single family,married without children,0,25001-50000,31-50%,Within the 1st month of marriage,"Mental, verbal",Mental,In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Dissatisfied,Yes,1
suburban,Rangpur,38,Student,Graduate,Joint family (with in-laws),married without children,1,15001-25000,31-50%,Within 6 months to 12 months of marriage,"Physical, mental, verbal",Verbal,Outside (in front of everyone),Love Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Dissatisfied,No,0
urban,Rangpur,26,Businessman,High school,Joint family (without in-laws),married with children,1,5001-10000,51-75%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Husband involved in adultery,Partially dissatisfied,Both are incapable,Fully dissatisfied,Yes,1
suburban,Dhaka,41,Businessman,High school,Joint family (with in-laws),married without children,1,15001-25000,1-10%,After 12 months of marriage,"Physical, mental, verbal",Verbal,In the house,Love Marriage,Both previously divorced,1-3 years,Neither spouse is involved in adultery,Fully satisfied,Husband is not capable,Dissatisfied,Yes,0
suburban,Dhaka,31,Unemployed,Postgraduate,Joint family (without in-laws),married with children,1,0,0%,After 12 months of marriage,Verbal,"Physical, mental, verbal",In the house,Arranged Marriage,Husband previously divorced,More than 10 years,Both involved in adultery,Partially dissatisfied,Both are capable,Partially dissatisfied,Yes,0
urban,Chittagong,20,Employed,High school,Joint family (with in-laws),married without children,1,15001-25000,100%,Within 6 months to 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Arranged Marriage,Both previously divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Fully satisfied,Yes,1
urban,Barisal,37,Employed,Postgraduate,Single family,married with children,1,25001-50000,31-50%,Within 6 months to 12 months of marriage,Verbal,Verbal,In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Fully satisfied,Both are capable,Dissatisfied,Yes,0
rural,Dhaka,27,Businessman,High school,Joint family (with in-laws),married with children,1,0,0%,Within 6 months to 12 months of marriage,"Physical, mental, verbal, sexual abuse","Mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Satisfied,Husband is not capable,Fully satisfied,Yes,0
suburban,Chittagong,37,Employed,Postgraduate,Joint family (with in-laws),married with children,0,15001-25000,11-30%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are incapable,Dissatisfied,Yes,0
rural,Dhaka,24,Businessman,Postgraduate,Single family,married with children,0,15001-25000,1-10%,Within 6 months to 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Love Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Dissatisfied,Yes,0
